Type,Name,Date Added,Modified History,Description
Theme,ENV_CLIMATECHANGE,2013-10-13 00:00:00,2013-10-13 00:00:00,Discussion of climate change and global warming
Theme,ENV_COAL,2013-10-13 00:00:00,2013-10-13 00:00:00,Coal power
Theme,ENV_DEFORESTATION,2014-04-21 00:00:00,2014-04-21 00:00:00,Deforestation and clear cutting
Theme,ENV_FISHERY,2014-04-16 00:00:00,2014-04-16 00:00:00,Discussion of fisheries and fish hatcheries
Theme,ENV_FORESTRY,2014-04-20 00:00:00,2014-04-20 00:00:00,Foresty and the logging industry
Theme,ENV_GEOTHERMAL,2013-10-13 00:00:00,2013-10-13 00:00:00,Geothermal
Theme,ENV_GREEN,2013-10-13 00:00:00,2013-10-13 00:00:00,"Green, renewable, and alternative energy"
Theme,ENV_HYDRO,2013-10-13 00:00:00,2013-10-13 00:00:00,Hydropower
Theme,ENV_METALS,2014-04-17 00:00:00,2014-04-17 00:00:00,"Core metals like gold, platinum, silver, copper, iron"
Theme,ENV_MINING,2014-04-18 00:00:00,2014-04-18 00:00:00,Mining operations
Theme,ENV_NATURALGAS,2013-10-13 00:00:00,2013-10-13 00:00:00,Natural gas for power and heating
Theme,ENV_NUCLEARPOWER,2013-10-13 00:00:00,2013-10-13 00:00:00,Nuclear power for energy generation (excludes nuclear weapons)
Theme,ENV_OIL,2013-10-13 00:00:00,2013-10-13 00:00:00,Oil power
Theme,ENV_OVERFISH,2014-04-22 00:00:00,2014-04-22 00:00:00,Overfishing
Theme,ENV_POACHING,2014-10-01 00:00:00,2014-10-01 00:00:00,Poaching
Theme,ENV_SOLAR,2013-10-13 00:00:00,2013-10-13 00:00:00,Solar power
Theme,ENV_SPECIESENDANGERED,2014-10-01 00:00:00,2014-10-01 00:00:00,Discussion of endangered species
Theme,ENV_SPECIESEXTINCT,2014-10-01 00:00:00,2014-10-01 00:00:00,Discussion of extinction
Theme,ENV_WATERWAYS,2014-04-15 00:00:00,2014-04-15 00:00:00,Waterways
Theme,ENV_WINDPOWER,2013-10-13 00:00:00,2013-10-13 00:00:00,Wind power
Theme,ETH_INDIGINOUS,2014-10-01 00:00:00,2014-10-01 00:00:00,Discussion of indiginous peoples
Count,EVACUATION,2013-10-13 00:00:00,2013-10-13 00:00:00,Mentions of evacuations
Theme,EXHUMATION,2013-10-13 00:00:00,2013-10-13 00:00:00,"Discussion of mass graves, exhumation, unearthing of bodies, human remains, etc"
Theme,EXILE,2013-10-13 00:00:00,2013-10-13 00:00:00,Actual mention of exile in the text
Theme,EXTREMISM,2013-10-13 00:00:00,2013-10-13 00:00:00,"Discussion of extremists, both political (farright/farleft/anarchist), groups like skinheads, and terms like zealot, ""fringe element"", etc"
Theme,FIREARM_OWNERSHIP,2014-04-25 00:00:00,2014-04-25 00:00:00,Gun rights
Theme,FOOD_SECURITY,2013-10-13 00:00:00,2013-10-13 00:00:00,"Famine, food crisis, malnourishment, food prices"
Theme,FOOD_STAPLE,2013-11-27 00:00:00,2013-11-27 00:00:00,"Captures explicit mention of terms like ""food staple"""
Theme,FREESPEECH,2013-10-13 00:00:00,2013-10-13 00:00:00,Freedom of speech
Theme,FUELPRICES,2014-02-20 00:00:00,2014-02-20 00:00:00,"Cost of fuel, energy, heating."
